question,paraphrase_question,answer
When was the Department of Information Science & Engineering established?,What is the establishment date of the Department of Information Science & Engineering?,The Department of Information Science & Engineering was established in the year 1999. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
What is the initial intake of students in the Department of Information Science & Engineering?,What is the initial student capacity of the Department of Information Science & Engineering?,The initial intake of students in the Department of Information Science & Engineering was 40. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
How many students can the Department of Information Science & Engineering accommodate now?,What is the current student capacity of the Department of Information Science & Engineering?,The Department of Information Science & Engineering can accommodate 180 students now. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
What is the purpose of the Information Science course?,What is the objective of the Information Science course?,"The Information Science course provides a comprehensive understanding of the principles, theories, and practical applications that form the foundation of Information Science. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview"
What are the fields that the Information Science course covers?,Which areas does the Information Science course encompass?,"The Information Science course covers the principles, theories, and practical applications of computer science, mathematics, and engineering. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview"
What is the role of Information Science Engineering in the digital world?,What is the significance of Information Science Engineering in the digital realm?,"Information Science Engineering plays a pivotal role in the increasingly digitized and interconnected world, influencing the way we communicate, process information, and make decisions. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview"
What facilities does the Department of Information Science & Engineering provide?,What amenities does the Department of Information Science & Engineering offer?,"The Department of Information Science & Engineering provides state-of-the-art facilities for learning, research, and hands-on exploration in the dynamic field of computer science. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview"
How does the Department of Information Science & Engineering maintain connections with industries?,How does the Department of Information Science & Engineering stay connected with industries?,The Department of Information Science & Engineering maintains strong connections with industries by facilitating internship opportunities for students. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
How do industry partnerships benefit students?,What advantages do students gain from industry partnerships?,"Industry partnerships provide students with real-world exposure, bridging the gap between academic learning and industry demands. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview"
What is the track record of the Department of Information Science & Engineering in terms of placement?,How successful has the Department of Information Science & Engineering been in terms of placement?,"The Department of Information Science & Engineering has placed 80-85% of qualifying students in reputable industries, demonstrating a good track record of placement. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview"
When did the Department of Information Science & Engineering collaborate with ICT Academy?,When was the collaboration between the Department of Information Science & Engineering and ICT Academy established?,The Department of Information Science & Engineering collaborated with ICT Academy in 2019. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
What industry-based courses does the Department of Information Science & Engineering offer in collaboration with ICT Academy?,What are the industry-focused courses provided by the Department of Information Science & Engineering in partnership with ICT Academy?,"The Department of Information Science & Engineering offers Google (for Cloud and Android courses), and UiPath (for Robotic Process Automation course) in collaboration with ICT Academy. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview"
When did the Department of Information Science & Engineering become part of Google’s Career Readiness Program?,When was the Department of Information Science & Engineering included in Google’s Career Readiness Program?,The Department of Information Science & Engineering became part of Google’s Career Readiness Program in 2020. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
What is the placement rate of the Department of Information Science & Engineering?,What is the employment success rate of the Department of Information Science & Engineering?,The Department of Information Science & Engineering has a high placement rate. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
What packages do students get in the Department of Information Science & Engineering?,What benefits do students receive in the Department of Information Science & Engineering?,Students in the Department of Information Science & Engineering get attractive packages. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
What is the high-end NVIDIA server used for in the Department of Information Science & Engineering?,For what purpose is the high-end NVIDIA server utilized in the Department of Information Science & Engineering?,The high-end NVIDIA server is used to explore more into data analytics in the Department of Information Science & Engineering. For further details please visit https://nmamit.nitte.edu.in/department-information-science.php#Overview
